hapid	haplength	total_reads	total_samples	strain	refid_3D7	snv_dist_from_3D7	indel_dist_from_3D7	refid_DD2	snv_dist_from_DD2	indel_dist_from_DD2	snv_filter	indel_filter	bimera
ASV121	209	95	7	N	PF3D7_0807800	1	0	PF3D7_0401900	94	1	PASS	FAIL	FALSE
ASV122	176	90	1	N	MSRP4	2	0	PF3D7_1018600	81	4	PASS	FAIL	FALSE
ASV123	228	85	7	N	SURFIN	4	0	SURFIN	3	0	PASS	FAIL	FALSE
ASV124	194	83	1	N	PF3D7_0910000	1	0	PF3D7_0910000	2	0	PASS	FAIL	FALSE
ASV125	176	81	1	N	MSRP4	1	0	PF3D7_1018600	81	4	PASS	PASS	FALSE
ASV126	226	80	11	N	PF3D7_1148700_1	4	0	PF3D7_1148700_1	1	0	PASS	FAIL	FALSE
ASV127	177	75	5	DD2	PF3D7_0830800_1	1	0	PF3D7_0830800_1	0	0	PASS	FAIL	FALSE
ASV128	190	57	1	3D7	PF3D7_1418100	0	0	PF3D7_1418100	1	0	PASS	PASS	FALSE
ASV129	218	48	1	N	GEST	3	0	GEST	1	0	PASS	FAIL	FALSE
ASV130	209	43	4	N	PF3D7_0807800	2	0	PF3D7_0729700	83	10	PASS	PASS	FALSE
ASV131	136	42	1	N	PF3D7_0401900	1	36	PF3D7_0724700	62	19	PASS	FAIL	FALSE
ASV132	41	42	1	N	PfDHPS_2	2	0	PfDHPS_2	2	0	PASS	FAIL	FALSE
ASV133	189	40	1	N	KELT	1	1	KELT	3	1	PASS	FAIL	FALSE
ASV134	228	39	4	N	SURFIN	5	0	SURFIN	4	0	PASS	FAIL	FALSE
ASV135	217	37	1	N	PF3D7_1473700	2	0	PF3D7_1473700	1	0	PASS	PASS	FALSE
ASV136	172	33	3	N	PF3D7_0401900	1	0	PF3D7_0401900	1	36	PASS	FAIL	TRUE
ASV137	163	32	1	N	PF3D7_0806300	82	2	PF3D7_0806300	82	2	FAIL	PASS	FALSE
ASV138	154	29	1	N	MAL13P1.50	1	0	PF3D7_0724700	72	1	PASS	PASS	FALSE
ASV139	118	28	1	N	PfMDR1_4	36	29	CS	58	27	FAIL	FAIL	FALSE
ASV140	167	28	1	N	PF3D7_0504400	0	44	PF3D7_0504400	0	44	PASS	FAIL	FALSE
ASV141	145	26	1	N	CS	1	0	CS	2	0	PASS	FAIL	FALSE
ASV142	118	25	1	N	PF3D7_0401900	1	54	CS	61	27	PASS	FAIL	FALSE
ASV143	137	22	6	N	CS	71	8	CS	72	8	FAIL	FAIL	FALSE
ASV144	170	22	1	N	PfDHFR_2	2	0	PfDHFR_2	1	0	PASS	FAIL	FALSE
ASV145	226	18	2	N	PfDHPS_1	1	0	PfDHPS_1	2	0	PASS	FAIL	FALSE
ASV146	176	18	2	N	PF3D7_1126100_2	0	1	PF3D7_1126100_2	1	1	PASS	FAIL	FALSE
ASV147	179	15	1	N	PF3D7_1447900	1	1	PF3D7_1447900	2	1	PASS	PASS	FALSE
ASV148	196	15	1	N	PfAMA_1	5	0	PfAMA_1	9	0	PASS	PASS	FALSE
ASV149	171	12	1	N	PF3D7_1018600	0	12	PF3D7_1018600	0	9	PASS	FAIL	FALSE
ASV150	174	10	1	N	PF3D7_1126100_2	0	1	PF3D7_1126100_2	1	1	PASS	PASS	FALSE
ASV151	226	10	1	N	PfDHPS_1	1	0	PfDHPS_1	2	0	PASS	FAIL	FALSE
ASV152	136	9	1	N	CS	68	9	CS	68	9	FAIL	FAIL	FALSE
ASV153	226	9	1	DD2	PfDHPS_1	1	0	PfDHPS_1	0	0	PASS	FAIL	FALSE
ASV154	123	8	1	N	CS	64	22	CS	65	22	FAIL	FAIL	FALSE
ASV155	175	8	1	N	RhopH3	2	45	RhopH3	1	45	PASS	FAIL	FALSE
ASV156	194	8	1	N	PF3D7_0910000	2	0	PF3D7_0910000	3	0	PASS	FAIL	TRUE
ASV157	180	7	1	DD2	PF3D7_1018600	0	3	PF3D7_1018600	0	0	PASS	PASS	FALSE
ASV158	97	7	1	N	PfMDR1_4	39	8	CS	40	48	FAIL	FAIL	FALSE
ASV159	174	7	1	N	PF3D7_1126100_2	1	1	PF3D7_1126100_2	0	1	PASS	FAIL	FALSE
ASV160	130	6	1	N	PF11_0373	1	36	PF11_0373	1	36	PASS	FAIL	FALSE
ASV161	187	6	1	N	PF3D7_1473700	2	30	PF3D7_1473700	1	30	PASS	FAIL	FALSE
ASV162	118	6	1	N	PfMDR1_4	35	29	CS	56	27	FAIL	FAIL	FALSE
ASV163	157	6	1	N	PF3D7_0401900	26	15	PF3D7_0724700	74	4	PASS	FAIL	FALSE
ASV164	150	5	1	N	PF3D7_0724700	72	5	PF3D7_0724700	71	5	FAIL	FAIL	FALSE
ASV165	234	5	2	DD2	PF3D7_1455300	1	0	PF3D7_1455300	0	0	PASS	FAIL	TRUE
ASV166	155	5	1	N	PF3D7_0724700	65	4	PF3D7_0724700	66	4	FAIL	FAIL	FALSE
ASV167	107	5	1	N	PfMDR1_4	39	18	CS	49	38	FAIL	FAIL	FALSE
ASV168	117	4	2	N	PfMDR1_4	36	28	RAMA	49	31	FAIL	FAIL	FALSE
ASV169	97	3	1	N	PfMDR1_4	46	8	CS	49	48	FAIL	PASS	FALSE
ASV170	187	3	1	N	PF3D7_1473700	1	30	PF3D7_1473700	0	30	PASS	FAIL	FALSE
ASV171	234	2	2	N	PF3D7_1455300	3	0	PF3D7_1455300	2	0	PASS	PASS	TRUE
ASV172	233	2	1	N	PF3D7_1320700	108	3	PF3D7_1320700	110	3	FAIL	PASS	FALSE
ASV173	157	2	1	N	MAL13P1.50	68	3	PF3D7_0724700	74	2	FAIL	FAIL	TRUE
ASV174	210	2	1	3D7	PF3D7_1224000	0	0	SPECT	96	4	PASS	FAIL	FALSE
ASV175	251	168452	81	N	PF3D7_0827100	1	0	PF3D7_0827100	3	0	PASS	FAIL	FALSE
ASV176	240	111976	78	DD2	PF3D7_0806200	3	0	PF3D7_0806200	0	0	PASS	PASS	FALSE
ASV177	296	89908	67	3D7	PSOP24	0	0	PF3D7_1465800	126	8	PASS	FAIL	FALSE
ASV178	259	88088	52	N	PfSERA2_1	5	0	PfSERA2_1	2	0	PASS	FAIL	FALSE
ASV179	243	54297	56	3D7	PF13_0125	0	0	PF13_0125	1	0	PASS	PASS	FALSE
ASV180	320	53670	76	N	TRAP	4	0	TRAP	1	0	PASS	FAIL	FALSE
ASV181	286	48919	77	3D7	PF3D7_0211700	0	0	PF3D7_0211700	-28	30	PASS	FAIL	FALSE
ASV182	283	48184	80	3D7	PF3D7_1408100_1	0	0	PF3D7_0525100	118	7	PASS	PASS	FALSE
ASV183	282	35651	81	DD2	B9	1	0	B9	0	0	PASS	PASS	FALSE
ASV184	259	33031	23	N	PfSERA2_1	4	0	PfSERA2_1	1	0	PASS	PASS	FALSE
ASV185	255	31408	40	N	PF3D7_0630600	2	0	PF3D7_1246500	115	3	PASS	PASS	FALSE
ASV186	235	31097	59	N	PF3D7_0501800	1	0	PfDHPS_1	98	9	PASS	PASS	FALSE
ASV187	243	30250	28	DD2	PF13_0125	1	0	PF13_0125	0	0	PASS	PASS	FALSE
ASV188	255	27092	34	3D7	PF3D7_0630600	0	0	PF3D7_1246500	117	3	PASS	PASS	FALSE
ASV189	247	26971	67	N	PF3D7_1429500	2	0	PF3D7_1429500	1	0	PASS	PASS	FALSE
ASV190	237	22849	79	3D7	PfKelch13C580Y	0	0	PF3D7_1469600	105	10	PASS	PASS	FALSE
ASV191	234	22810	80	3D7	PF3D7_0728200	0	0	PF3D7_1455300	113	6	PASS	PASS	FALSE
ASV192	296	21201	20	N	PSOP24	1	0	PF3D7_1465800	126	8	PASS	FAIL	FALSE
ASV193	274	19458	78	3D7	MSP10	0	0	MSP10	1	0	PASS	PASS	FALSE
ASV194	259	19455	10	N	PfSERA2_1	4	0	PfSERA2_1	1	0	PASS	PASS	FALSE
ASV195	255	17561	19	N	PF3D7_0630600	1	0	PF3D7_1246500	116	3	PASS	PASS	FALSE
ASV196	244	16223	78	N	PF3D7_0935400	1	0	PF3D7_0935400	1	0	PASS	PASS	FALSE
ASV197	251	15309	72	N	PF3D7_0615900	0	6	PF3D7_0615900	1	3	PASS	PASS	FALSE
ASV198	236	15098	76	3D7	PF3D7_1407800	0	0	PfSERA3	113	3	PASS	PASS	FALSE
ASV199	266	13675	74	N	PF3D7_1211900	1	0	PF3D7_1114900	118	7	PASS	FAIL	FALSE
ASV200	254	13334	67	DD2	PF3D7_1340400	1	0	PF3D7_1340400	0	0	PASS	PASS	FALSE
ASV201	276	13070	78	3D7	PF3D7_0525100	0	0	PF3D7_0525100	2	0	PASS	PASS	FALSE
ASV202	267	12878	61	3D7	PF3D7_1145400	0	0	PF3D7_1352900	122	6	PASS	PASS	FALSE
ASV203	250	12004	43	3D7	PF3D7_0411900_2	0	0	PF3D7_0411900_2	1	0	PASS	PASS	FALSE
ASV204	261	11015	78	3D7	PF10_0119	0	0	PF3D7_0503200	103	0	PASS	PASS	FALSE
ASV205	241	9270	47	3D7	PF3D7_0519300	0	0	PF3D7_1455300	108	7	PASS	PASS	FALSE
ASV206	234	8994	75	N	PF3D7_1455300	2	0	PF3D7_1455300	1	0	PASS	PASS	FALSE
ASV207	274	8141	64	3D7	PF3D7_1429800	0	0	PF3D7_1035700	118	11	PASS	FAIL	FALSE
ASV208	241	7359	35	N	PF3D7_0519300	1	0	PF3D7_0935400	109	3	PASS	FAIL	FALSE
ASV209	250	7341	39	DD2	PF3D7_0411900_2	1	0	PF3D7_0411900_2	0	0	PASS	PASS	FALSE
ASV210	276	7303	79	DD2	PF3D7_1472300	1	0	PF3D7_1472300	0	0	PASS	PASS	FALSE
ASV211	236	6875	77	3D7	WD	0	0	WD	2	0	PASS	FAIL	FALSE
ASV212	235	6697	12	N	PF3D7_0501800	1	0	PfDHPS_1	99	9	PASS	PASS	FALSE
ASV213	234	5566	63	N	SERA8	4	0	SERA8	4	0	PASS	PASS	FALSE
ASV214	247	5387	14	3D7	PF3D7_1429500	0	0	PF3D7_1429500	1	0	PASS	PASS	FALSE
ASV215	286	5185	33	N	PF3D7_1035100	5	0	PF3D7_1035100	2	0	PASS	FAIL	FALSE
ASV216	303	5000	70	N	PF3D7_0802000	1	0	PF3D7_0802000	1	0	PASS	PASS	FALSE
ASV217	276	4846	45	N	PF3D7_1353100	3	0	PF3D7_1353100	2	0	PASS	PASS	FALSE
ASV218	259	4839	78	3D7	PF3D7_1114900	0	0	PF3D7_1114900	1	0	PASS	PASS	FALSE
ASV219	320	4621	19	N	TRAP	5	0	TRAP	2	0	PASS	FAIL	FALSE
ASV220	276	4561	34	N	PF3D7_1353100	2	0	PF3D7_1353100	1	0	PASS	FAIL	FALSE
ASV221	286	4497	25	N	PF3D7_1035100	6	0	PF3D7_1035100	3	0	PASS	PASS	FALSE
ASV222	285	4420	36	N	PF3D7_1035700	4	0	PF3D7_1035700	7	0	PASS	PASS	FALSE
ASV223	243	3704	6	N	PF13_0125	2	0	PF13_0125	1	0	PASS	FAIL	FALSE
ASV224	254	3453	75	DD2	PF3D7_1246500	1	0	PF3D7_1246500	0	0	PASS	PASS	FALSE
ASV225	285	3139	22	N	PF3D7_1035700	7	0	PF3D7_1035700	4	0	PASS	FAIL	FALSE
ASV226	285	3051	24	DD2	PF3D7_1035700	3	0	PF3D7_1035700	0	0	PASS	PASS	FALSE
ASV227	235	2891	7	N	PF3D7_0501800	2	0	PfDHPS_1	99	9	PASS	FAIL	FALSE
ASV228	261	2833	36	N	PF3D7_0503200	6	0	PF3D7_0503200	9	0	PASS	PASS	FALSE
ASV229	261	2735	41	DD2	PF3D7_0503200	2	0	PF3D7_0503200	0	0	PASS	PASS	FALSE
ASV230	249	2521	49	DD2	PF3D7_0809400	1	0	PF3D7_0809400	0	0	PASS	PASS	FALSE
ASV231	269	2430	59	DD2	PF3D7_1352900	2	0	PF3D7_1352900	0	0	PASS	PASS	FALSE
ASV232	266	2213	16	N	PF3D7_1211900	2	0	PF3D7_1114900	119	7	PASS	PASS	FALSE
ASV233	263	2134	39	N	PF3D7_1302700	3	0	PF3D7_1302700	1	0	PASS	PASS	FALSE
ASV234	294	2128	73	3D7	PF3D7_1407900	0	0	PF3D7_1322200	124	6	PASS	FAIL	FALSE
ASV235	267	2007	14	N	PF3D7_1145400	1	0	PF3D7_1352900	121	6	PASS	PASS	FALSE
ASV236	286	1861	14	N	PF3D7_1035100	4	0	PF3D7_1035100	3	0	PASS	PASS	FALSE
ASV237	294	1836	49	3D7	PF3D7_1466800	0	0	PF3D7_1465800	106	8	PASS	PASS	FALSE
ASV238	239	1609	69	DD2	PfSERA3	1	0	PfSERA3	0	0	PASS	FAIL	FALSE
ASV239	279	1555	37	N	PF3D7_1354200	1	0	PF3D7_1465800	110	9	PASS	FAIL	FALSE
ASV240	235	1470	50	N	PF3D7_1469600	1	0	PF3D7_1469600	2	0	PASS	FAIL	FALSE
ASV241	279	1434	31	3D7	PF3D7_1354200	0	0	PF3D7_1465800	110	9	PASS	FAIL	FALSE
ASV242	286	1419	3	N	PF3D7_0211700	6	0	PF3D7_0211700	-23	30	PASS	PASS	FALSE
ASV243	274	1283	14	N	PF3D7_1429800	2	0	PF3D7_1035700	117	11	PASS	PASS	FALSE
ASV244	254	1222	6	N	PF3D7_1340400	2	0	PF3D7_1340400	1	0	PASS	PASS	FALSE
ASV245	234	1218	59	N	PF3D7_1250400	1	0	PF3D7_1320700	101	2	PASS	PASS	FALSE
ASV246	307	1191	52	3D7	PF3D7_0217200	0	0	PF3D7_0217200	-10	12	PASS	FAIL	FALSE
ASV247	235	1162	23	DD2	PF3D7_1469600	3	0	PF3D7_1469600	0	0	PASS	FAIL	FALSE
ASV248	269	1148	13	N	PF3D7_1352900	4	0	PF3D7_1352900	3	0	PASS	FAIL	FALSE
ASV249	258	1133	51	3D7	PF3D7_0508900	0	0	PF3D7_0508900	2	0	PASS	PASS	FALSE
ASV250	257	1131	45	N	PF3D7_1409700	2	0	PF3D7_1409700	1	0	PASS	PASS	FALSE
ASV251	291	1104	38	N	PF3D7_1126100_1	1	0	PF3D7_1126100_1	1	0	PASS	FAIL	FALSE
ASV252	234	1097	16	N	SERA8	4	0	SERA8	2	0	PASS	FAIL	FALSE
ASV253	251	1056	5	N	PF3D7_0615900	-1	6	PF3D7_0615900	0	3	PASS	PASS	FALSE
